Unnamed: 0,Player,Goals,GPG,Shots,SH%,Assists,Saves,Epic Saves,Demos,Points,Points per game,MVP,Games Played
1.0,Dylan,37.0,1.54,80.0,0.4625,25.0,25.0,8.0,22.0,11383.0,474.29,5.0,24.0
2.0,Matt S,62.0,2.58,113.0,0.5486,21.0,31.0,7.0,6.0,15231.0,634.62,11.0,24.0
3.0,Jax,20.0,0.83,51.0,0.3921,14.0,26.0,3.0,12.0,8246.0,343.58,1.0,24.0
4.0,JohnnyG,34.0,1.41,73.0,0.4657,30.0,22.0,3.0,20.0,9218.0,384.08,0.0,24.0
5.0,Robert,34.0,1.41,68.0,0.5,9.0,34.0,8.0,3.0,9874.0,411.41,6.0,24.0
6.0,Mason,55.0,2.29,121.0,0.4545,14.0,52.0,12.0,7.0,16272.0,678.0,10.0,24.0
7.0,Jack,74.0,3.08,144.0,0.5138,31.0,33.0,13.0,17.0,17350.0,722.91,13.0,24.0
8.0,Vince,46.0,1.91,87.0,0.5287,32.0,20.0,3.0,4.0,12492.0,520.5,5.0,24.0
9.0,Stan,38.0,1.58,80.0,0.475,24.0,27.0,1.0,4.0,10816.0,450.66,6.0,24.0
10.0,Austin,51.0,2.12,98.0,0.5204,13.0,30.0,4.0,9.0,13409.0,558.7,9.0,24.0
11.0,Ben,48.0,2.0,108.0,0.4444,23.0,31.0,12.0,4.0,12601.0,525.04,7.0,24.0
12.0,Dundee,42.0,1.75,74.0,0.5675,18.0,23.0,4.0,37.0,11153.0,464.7,2.0,24.0
13.0,Big Nick,64.0,2.66,125.0,0.512,23.0,39.0,5.0,12.0,16131.0,672.12,10.0,24.0
14.0,Nathan,28.0,1.16,65.0,0.4307,25.0,32.0,5.0,6.0,9875.0,411.45,3.0,24.0
15.0,Tyler,84.0,3.5,159.0,0.5283,16.0,28.0,9.0,27.0,17512.0,729.66,20.0,24.0
16.0,Jared,28.0,1.16,50.0,0.56,17.0,19.0,3.0,5.0,8166.0,340.25,0.0,24.0
17.0,Quinn,13.0,0.54,22.0,0.5909,6.0,43.0,14.0,7.0,8020.0,334.16,0.0,24.0
18.0,Alex,10.0,0.41,31.0,0.3225,5.0,9.0,2.0,12.0,4572.0,190.5,0.0,24.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Team,,,,,,,,,,,,
1.0,The Wolverines,85.0,3.54,188.0,0.4521,48.0,56.0,20.0,26.0,23984.0,999.33,,24.0
2.0,Drunken Goats,104.0,4.33,187.0,0.5561,39.0,54.0,11.0,43.0,26384.0,1099.33,,24.0
3.0,The Shock,54.0,2.25,119.0,0.4537,23.0,60.0,11.0,15.0,18120.0,755.0,,24.0
4.0,Chopped Trees,83.0,3.45,171.0,0.4853,31.0,71.0,15.0,12.0,24438.0,1018.25,,24.0
5.0,Style Boyz,120.0,5.0,231.0,0.5194,63.0,53.0,16.0,21.0,29842.0,1243.41,,24.0
6.0,Super Sonic,23.0,1.09,53.0,0.4339,11.0,52.0,16.0,19.0,12592.0,524.66,,24.0
7.0,Lebron James,86.0,4.77,169.0,0.5088,38.0,46.0,4.0,15.0,21213.0,1178.5,,18.0
8.0,Tyler John,106.0,5.04,206.0,0.5145,43.0,45.0,11.0,39.0,23748.0,1130.85,,21.0
9.0,Corner Boost,75.0,3.57,148.0,0.5067,34.0,52.0,7.0,14.0,20861.0,993.38,,21.0
