Player,Goals,GPG,Shots,Shooting%,Assists,Saves,Epic Saves,Demos,Points,PPG,MVP,GP
Matt,15.0,1.87,38.0,0.3947,3.0,14.0,1.0,3.0,4350.0,543.75,1.0,8.0
Dundee,9.0,1.12,27.0,0.3333,5.0,6.0,1.0,6.0,3102.0,387.75,2.0,8.0
Stan,4.0,0.8,17.0,0.2352,4.0,11.0,2.0,3.0,2478.0,495.6,1.0,5.0
Nick,5.0,1.0,19.0,0.2631,3.0,12.0,6.0,10.0,2608.0,521.6,1.0,5.0
Tyler,11.0,3.66,27.0,0.4074,2.0,8.0,0.0,1.0,2916.0,972.0,3.0,3.0
John,3.0,1.0,6.0,0.5,0.0,5.0,0.0,5.0,1190.0,396.0,0.0,3.0
Austin,,,,,,,,,,,,
Nathan,,,,,,,,,,,,
Jack,6.0,1.2,25.0,0.24,4.0,10.0,1.0,1.0,2785.0,557.0,3.0,5.0
Vince,7.0,1.4,17.0,0.4117,1.0,10.0,2.0,1.0,2545.0,509.0,0.0,5.0
Dylan,8.0,1.6,14.0,0.5714,3.0,12.0,6.0,4.0,3005.0,601.0,2.0,5.0
Ben,4.0,0.8,8.0,0.5,5.0,9.0,2.0,3.0,2042.0,408.4,0.0,5.0
