Unnamed: 0,Player,Points,Goals,Assists,Saves,Shots,MVP,Demos,Epic Saves,OTG,Games Played,Points per game,GPG ,SH%,APG,SVPG,Epic Save %,Demo/Game,Unnamed: 19,Unnamed: 20,ID,Team,Goals.1,Saves.1,Demos.1,Shots Allowed,Goals Allowed,Shots.1,Goals per GM,Shots per GM,SH%.1,Saves per GM,Epic SV per GM,Saves per SA,Demo per GM,Goals Allowed per GM,Shots Allowed per GM,Goals Allowed per Shot,Games Played.1,Homer Record,Garfield Record,Last 6,Teams,ID.1
10.0,Austin,12952.0,41.0,22.0,33.0,101.0,7.0,23.0,8.0,0.0,24.0,539.6666667,1.708333333,0.4059405941,0.9166666667,1.375,0.2424242424,0.9583333333,,,,Backdoor Bandits,85.0,75.0,34.0,151.0,64.0,202.0,3.541666667,3.125,0.4207920792,3.125,0.5416666667,0.4966887417,1.416666667,2.666666667,6.291666667,0.4238410596,24.0,2-4-0,6-3-0,3-3-0,Backdoor Bandit,1.0
19.0,Keough,12079.0,41.0,18.0,38.0,87.0,8.0,12.0,9.0,1.0,24.0,503.2916667,1.708333333,0.4712643678,0.75,1.583333333,0.2368421053,0.5,,,,Bronny James,63.0,84.0,25.0,186.0,80.0,145.0,2.625,3.5,0.4344827586,3.5,0.7083333333,0.4516129032,1.041666667,3.333333333,7.75,0.4301075269,24.0,4-1-1,5-4-0,3-3-0,Bronny James,2.0
20.0,Gup,18393.0,63.0,12.0,54.0,152.0,14.0,25.0,11.0,3.0,24.0,766.375,2.625,0.4144736842,0.5,2.25,0.2037037037,1.041666667,,,,Chicken Jockey,68.0,57.0,26.0,156.0,79.0,157.0,2.833333333,2.375,0.4331210191,2.375,0.7916666667,0.3653846154,1.083333333,3.291666667,6.5,0.5064102564,24.0,1-5-0,1-2-0,1-5-0,Chicken Jockey,3.0
21.0,Sam,6997.0,22.0,31.0,21.0,50.0,1.0,9.0,2.0,1.0,24.0,291.5416667,0.9166666667,0.44,1.291666667,0.875,0.09523809524,0.375,,,,Double Bogey,68.0,50.0,21.0,149.0,89.0,140.0,2.833333333,2.083333333,0.4857142857,2.083333333,0.375,0.3355704698,0.875,3.708333333,6.208333333,0.5973154362,24.0,2-1-0,5-4-0,1-5-0,Double Bogey,4.0
22.0,Jake C.,11429.0,40.0,26.0,30.0,81.0,4.0,12.0,9.0,0.0,24.0,476.2083333,1.666666667,0.4938271605,1.083333333,1.25,0.3,0.5,,,,Drunken Goats,94.0,56.0,57.0,121.0,62.0,199.0,3.916666667,2.333333333,0.472361809,2.333333333,0.625,0.4628099174,2.375,2.583333333,5.041666667,0.5123966942,24.0,7-2-0,5-0-1,4-1-1,Drunken Goats,5.0
23.0,Jake W.,16372.0,61.0,28.0,28.0,142.0,14.0,11.0,7.0,1.0,24.0,682.1666667,2.541666667,0.4295774648,1.166666667,1.166666667,0.25,0.4583333333,,,,Jakeing It,101.0,58.0,23.0,131.0,66.0,223.0,4.208333333,2.416666667,0.4529147982,2.416666667,0.6666666667,0.4427480916,0.9583333333,2.75,5.458333333,0.5038167939,24.0,3-0-0,3-3-0,3-2-1,Jakeing it,6.0
24.0,A Rob,4810.0,10.0,19.0,6.0,35.0,0.0,11.0,1.0,0.0,24.0,200.4166667,0.4166666667,0.2857142857,0.7916666667,0.25,0.1666666667,0.4583333333,,,,Mid Boost,82.0,71.0,35.0,133.0,55.0,188.0,3.416666667,2.958333333,0.4361702128,2.958333333,0.7083333333,0.5338345865,1.458333333,2.291666667,5.541666667,0.4135338346,24.0,3-2-1,3-2-1,3-3-0,Mid Boost,7.0
7.0,Jack W.,18736.0,79.0,6.0,43.0,157.0,13.0,14.0,19.0,1.0,24.0,780.6666667,3.291666667,0.5031847134,0.25,1.791666667,0.4418604651,0.5833333333,,,,MJ,105.0,79.0,38.0,176.0,75.0,213.0,4.375,3.291666667,0.4929577465,3.291666667,0.875,0.4488636364,1.583333333,3.125,7.333333333,0.4261363636,24.0,9-3-0,4-2-3,3-2-1,MJ,8.0
4.0,JohnnyG,12176.0,40.0,23.0,35.0,87.0,2.0,27.0,13.0,0.0,24.0,507.3333333,1.666666667,0.4597701149,0.9583333333,1.458333333,0.3714285714,1.125,,,,Nick Al Nite,55.0,88.0,15.0,221.0,98.0,131.0,2.291666667,3.666666667,0.4198473282,3.666666667,1.333333333,0.3981900452,0.625,4.083333333,9.208333333,0.443438914,24.0,4-2-0,1-4-1,2-4-0,Nick Al Nite,9.0
6.0,Mason,17106.0,65.0,20.0,44.0,126.0,13.0,11.0,8.0,0.0,24.0,712.75,2.708333333,0.5158730159,0.8333333333,1.833333333,0.1818181818,0.4583333333,,,,Non Chalant,89.0,49.0,25.0,175.0,96.0,192.0,3.708333333,2.041666667,0.4635416667,2.041666667,0.8333333333,0.28,1.041666667,4.0,7.291666667,0.5485714286,24.0,5-4-0,2-4-0,3-3-0,Non Chalant,10.0
1.0,Dylan,11559.0,34.0,23.0,29.0,76.0,2.0,25.0,4.0,0.0,24.0,481.625,1.416666667,0.4473684211,0.9583333333,1.208333333,0.1379310345,1.041666667,,,,Otters,74.0,63.0,29.0,183.0,82.0,165.0,3.083333333,2.625,0.4484848485,2.625,0.4166666667,0.3442622951,1.208333333,3.416666667,7.625,0.4480874317,24.0,4-5-0,0-2-1,3-3-0,Otters,11.0
11.0,Ben,11739.0,40.0,12.0,34.0,89.0,8.0,4.0,6.0,1.0,24.0,489.125,1.666666667,0.4494382022,0.5,1.416666667,0.1764705882,0.1666666667,,,,Pen15 Club,69.0,89.0,44.0,227.0,99.0,144.0,2.875,3.708333333,0.4791666667,3.708333333,1.166666667,0.3920704846,1.833333333,4.125,9.458333333,0.436123348,24.0,0-0-6,3-1-2,3-0-3,Pen15 Club,12.0
2.0,Matt,15245.0,60.0,17.0,32.0,119.0,17.0,11.0,10.0,2.0,24.0,635.2083333,2.5,0.5042016807,0.7083333333,1.333333333,0.3125,0.4583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Dundee,9978.0,34.0,19.0,24.0,80.0,1.0,46.0,5.0,1.0,24.0,415.75,1.416666667,0.425,0.7916666667,1.0,0.2083333333,1.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Jax,9302.0,23.0,18.0,28.0,62.0,3.0,19.0,11.0,1.0,24.0,387.5833333,0.9583333333,0.3709677419,0.75,1.166666667,0.3928571429,0.7916666667,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Vince,12460.0,45.0,11.0,29.0,95.0,5.0,7.0,8.0,1.0,24.0,519.1666667,1.875,0.4736842105,0.4583333333,1.208333333,0.275862069,0.2916666667,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Stan,10408.0,28.0,15.0,34.0,62.0,5.0,12.0,9.0,1.0,24.0,433.6666667,1.166666667,0.4516129032,0.625,1.416666667,0.2647058824,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Robert,11983.0,35.0,13.0,50.0,83.0,6.0,13.0,8.0,1.0,24.0,499.2916667,1.458333333,0.421686747,0.5416666667,2.083333333,0.16,0.5416666667,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Nick B.,13255.0,49.0,13.0,33.0,103.0,9.0,17.0,4.0,1.0,24.0,552.2916667,2.041666667,0.4757281553,0.5416666667,1.375,0.1212121212,0.7083333333,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Quinn,6731.0,19.0,17.0,17.0,37.0,2.0,4.0,5.0,0.0,24.0,280.4583333,0.7916666667,0.5135135135,0.7083333333,0.7083333333,0.2941176471,0.1666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Big Nick,14913.0,36.0,7.0,71.0,94.0,7.0,11.0,27.0,3.0,24.0,621.375,1.5,0.3829787234,0.2916666667,2.958333333,0.3802816901,0.4583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Alex,5138.0,14.0,8.0,13.0,32.0,0.0,24.0,2.0,0.0,24.0,214.0833333,0.5833333333,0.4375,0.3333333333,0.5416666667,0.1538461538,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Erica,4508.0,12.0,11.0,16.0,24.0,0.0,18.0,3.0,1.0,24.0,187.8333333,0.5,0.5,0.4583333333,0.6666666667,0.1875,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
