45,Player,Points,Goals,Assists,Saves,Shots,MVP,Demos,Epic Saves,OTG,Games Played,Points per game,GPG ,SH%,APG,SVPG,Epic Save %,Demo/Game,Unnamed: 19,Unnamed: 20,ID,Team,Goals.1,Saves.1,Demos.1,Shots Allowed,Goals Allowed,Shots.1,Goals per GM,Shots per GM,SH%.1,Saves per GM,Epic SV per GM,Saves per SA,Demo per GM,Goals Allowed per GM,Shots Allowed per GM,Goals Allowed per Shot,Games Played.1,Teams,ID.1
1.0,Austin,5835.0,16.0,7.0,26.0,47.0,3.0,6.0,6.0,0.0,12.0,486.25,1.333333333,0.3404255319,0.5833333333,2.166666667,0.2307692308,0.5,,,,Backdoor Bandits,4.0,7.0,1.0,22.0,8.0,20.0,1.333333333,2.333333333,0.2,2.333333333,0.6666666667,0.3181818182,0.3333333333,2.666666667,7.333333333,0.3636363636,3.0,Backdoor Bandit,1.0
2.0,Keough,6199.0,19.0,6.0,25.0,46.0,5.0,6.0,3.0,0.0,12.0,516.5833333,1.583333333,0.4130434783,0.5,2.083333333,0.12,0.5,,,,Double Bogey,13.0,10.0,6.0,35.0,17.0,35.0,2.6,2.0,0.3714285714,2.0,0.2,0.2857142857,1.2,3.4,7.0,0.4857142857,5.0,Double Bogey,2.0
3.0,Gup,1388.0,4.0,0.0,5.0,13.0,0.0,1.0,1.0,0.0,3.0,462.6666667,1.333333333,0.3076923077,0,1.666666667,0.2,0.3333333333,,,,Chicken Jockey,0.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,1.0,Chicken Jockey,3.0
4.0,Sam,721.0,0.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,3.0,240.3333333,0,0,1,0.6666666667,0.5,0,,,,Drunken Goats,16.0,22.0,17.0,0.0,0.0,42.0,3.2,4.4,0.380952381,4.4,1.6,#DIV/0!,3.4,0.0,0.0,#DIV/0!,5.0,Drunken Goats,5.0
5.0,Jake C.,2709.0,8.0,0.0,13.0,21.0,0.0,2.0,1.0,0.0,7.0,387,1.142857143,0.380952381,0,1.857142857,0.07692307692,0.2857142857,,,,Jakeing It,20.0,21.0,9.0,15.0,8.0,51.0,2.857142857,3.0,0.3921568627,3.0,0.4285714286,1.4,1.285714286,1.142857143,2.142857143,0.5333333333,7.0,Jakeing it,6.0
6.0,Jake W.,3519.0,12.0,6.0,8.0,30.0,3.0,7.0,2.0,0.0,7.0,502.7142857,1.714285714,0.4,0.8571428571,1.142857143,0.25,1,,,,Mid Boost,35.0,51.0,12.0,66.0,23.0,93.0,2.916666667,4.25,0.376344086,4.25,0.75,0.7727272727,1.0,1.916666667,5.5,0.3484848485,12.0,Mid Boost,7.0
7.0,A Rob,850.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,5.0,170,0.4,0.4,0,0.2,0,0.4,,,,MJ,51.0,45.0,34.0,30.0,14.0,111.0,3.1875,2.8125,0.4594594595,2.8125,0.8125,1.5,2.125,0.875,1.875,0.4666666667,16.0,MJ,8.0
8.0,Jack,3256.0,12.0,1.0,13.0,25.0,2.0,2.0,4.0,0.0,5.0,651.2,2.4,0.48,0.2,2.6,0.3076923077,0.4,,,,Non Chalant,14.0,14.0,4.0,34.0,11.0,30.0,2.8,2.8,0.4666666667,2.8,0.8,0.4117647059,0.8,2.2,6.8,0.3235294118,5.0,Non Chalant,10.0
9.0,JohnnyG,6504.0,21.0,11.0,22.0,37.0,2.0,28.0,7.0,0.0,16.0,406.5,1.3125,0.5675675676,0.6875,1.375,0.3181818182,1.75,,,,Otters,48.0,25.0,16.0,0.0,37.0,93.0,4.363636364,2.272727273,0.5161290323,2.272727273,0.4545454545,#DIV/0!,1.454545455,3.363636364,0.0,#DIV/0!,11.0,Otters,11.0
10.0,Mason,9530.0,30.0,12.0,23.0,74.0,8.0,6.0,6.0,1.0,16.0,595.625,1.875,0.4054054054,0.75,1.4375,0.2608695652,0.375,,,,,,,,,,,,,,,,,,,,,,,
11.0,Dylan,6762.0,26.0,9.0,18.0,44.0,3.0,6.0,4.0,0.0,11.0,614.7272727,2.363636364,0.5909090909,0.8181818182,1.636363636,0.2222222222,0.5454545455,,,,,,,,,,,,,,,,,,,,,,,
12.0,Ben,5363.0,22.0,8.0,7.0,49.0,3.0,10.0,1.0,1.0,11.0,487.5454545,2,0.4489795918,0.7272727273,0.6363636364,0.1428571429,0.9090909091,,,,,,,,,,,,,,,,,,,,,,,
13.0,Matt,3445.0,10.0,3.0,12.0,26.0,2.0,5.0,4.0,1.0,5.0,689,2,0.3846153846,0.6,2.4,0.3333333333,1,,,,,,,,,,,,,,,,,,,,,,,
14.0,Dundee,2333.0,6.0,3.0,10.0,16.0,0.0,12.0,4.0,0.0,5.0,466.6,1.2,0.375,0.6,2,0.4,2.4,,,,,,,,,,,,,,,,,,,,,,,
15.0,Jax,216.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,216,0,#DIV/0!,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
16.0,Vince,390.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,390,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,
17.0,Nick B.,3104.0,11.0,2.0,5.0,27.0,2.0,2.0,0.0,0.0,5.0,620.8,2.2,0.4074074074,0.4,1,0,0.4,,,,,,,,,,,,,,,,,,,,,,,
18.0,Quinn,1298.0,2.0,4.0,5.0,8.0,0.0,4.0,1.0,1.0,5.0,259.6,0.4,0.25,0.8,1,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,
19.0,Stan,969.0,3.0,1.0,3.0,7.0,0.0,1.0,1.0,0.0,1.0,969,3,0.4285714286,1,3,0.3333333333,1,,,,,,,,,,,,,,,,,,,,,,,
20.0,Robert,723.0,1.0,2.0,5.0,2.0,0.0,5.0,2.0,0.0,1.0,723,1,0.5,2,5,0.4,5,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,3255.7,10.25,3.9,10.35,24.35,1.65,5.25,2.45,0.2,6.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
